kappa,concentration,mu,monotonicity,seed,face_value,outside_mid_ratio,big_entity_share,delta_passive,delta_active,trading_effect,trading_relief_ratio,phi_passive,phi_active,passive_run_id,passive_status,active_run_id,active_status,dealer_total_pnl,dealer_total_return,total_trades,n_defaults_passive,n_defaults_active,cascade_fraction_passive,cascade_fraction_active,cascade_effect,alpha_vbt,alpha_trader,dealer_passive_pnl,dealer_passive_return,dealer_trading_incremental_pnl,risk_aversion,planning_horizon,aggressiveness,default_observability,vbt_mid_sensitivity,vbt_spread_sensitivity,delta_lender,lending_effect,phi_lender,lender_run_id,lender_status,n_defaults_lender,cascade_fraction_lender,lender_total_pnl,lender_total_return,total_loans,delta_dealer_lender,combined_effect,phi_dealer_lender,dealer_lender_run_id,dealer_lender_status,n_defaults_dealer_lender,cascade_fraction_dealer_lender,delta_bank_passive,bank_passive_effect,phi_bank_passive,bank_passive_run_id,bank_passive_status,n_defaults_bank_passive,cascade_fraction_bank_passive,delta_bank_dealer,bank_dealer_effect,phi_bank_dealer,bank_dealer_run_id,bank_dealer_status,n_defaults_bank_dealer,cascade_fraction_bank_dealer,delta_bank_dealer_nbfi,bank_dealer_nbfi_effect,phi_bank_dealer_nbfi,bank_dealer_nbfi_run_id,bank_dealer_nbfi_status,n_defaults_bank_dealer_nbfi,cascade_fraction_bank_dealer_nbfi
0.5,0.5,0.5,0,52,20,0.90,0.25,0.8470671628566365408470671629,0.8297308202201856014755893711,0.0173363426364509393714777918,0.02046631412081436210737430526,0.1529328371433634591529328371,0.1702691797798143985244106289,balanced_passive_2db6d1ab402d,completed,balanced_active_4f7c8c86bc41,completed,614.3846153846154,0.33354213647373254,17,19,18,0.2631578947368421052631578947,0.2222222222222222222222222222,0.0409356725146198830409356725,0,0,-621.0,-0.33713355048859933,1235.3846153846152,0,10,1.0,1.0,1.0,0.0,0.8085132185301964588891583798,0.0385539443264400819579087831,0.1914867814698035411108416202,balanced_nbfi_4250e8f4d5c2,completed,18,0.1666666666666666666666666667,,,,0.8255655974954220568255655975,0.0215015653612144840215015654,0.1744344025045779431744344025,balanced_dealer_lender_2630a2d13d01,completed,19,0.2631578947368421052631578947,,,,,,0,,,,,,,0,,,,,,,0,
0.5,0.5,1,0,53,20,0.90,0.25,0.8263279158104489694252444112,0.6889707386944956005729486392,0.1373571771159533688522957720,0.1662259915075429653654120424,0.1736720841895510305747555888,0.3110292613055043994270513608,balanced_passive_ec69297c08d7,completed,balanced_active_e686f9f3bfab,completed,741.0,0.38117283950617287,25,19,17,0.1052631578947368421052631579,0.1176470588235294117647058824,-0.0123839009287925696594427245,0,0,-832.0,-0.4279835390946502,1573.0,0,10,1.0,1.0,1.0,0.0,0.7472966773707320270004587457,0.0790312384397169424247856655,0.2527033226292679729995412543,balanced_nbfi_b579700a1711,completed,18,0.1111111111111111111111111111,,,,0.7472966773707320270004587457,0.0790312384397169424247856655,0.2527033226292679729995412543,balanced_dealer_lender_3cb340428ce8,completed,18,0.1111111111111111111111111111,,,,,,0,,,,,,,0,,,,,,,0,
0.5,1,0,0,54,20,0.90,0.25,0.6545229784758580570098894706,0.6450698080279232111692844677,0.0094531704479348458406050029,0.01444283968447950227752471946,0.3454770215241419429901105294,0.3549301919720767888307155323,balanced_passive_0802e368144c,completed,balanced_active_28b4dad6a818,completed,681.0,0.349768875192604,20,33,33,0.4848484848484848484848484848,0.4848484848484848484848484848,0E-28,0,0,-824.0,-0.42321520287621983,1505.0,0,10,1.0,1.0,1.0,0.0,0.5042175683536940081442699244,0.1503054101221640488656195462,0.4957824316463059918557300756,balanced_nbfi_b1912821faa7,completed,33,0.4848484848484848484848484848,,,,0.6064195364480514732763032829,0.0481034420278065837335861877,0.3935804635519485267236967171,balanced_dealer_lender_dbc378c7182c,completed,33,0.4848484848484848484848484848,,,,,,0,,,,,,,0,,,,,,,0,
0.5,1,0.5,0,55,20,0.90,0.25,0.7167312257903286267649631388,0.6097996429279904780797460821,0.1069315828623381486852170567,0.1491934200919268137949428356,0.2832687742096713732350368612,0.3902003570720095219202539179,balanced_passive_7e30516e6370,completed,balanced_active_e0435e840e93,completed,1624.0,0.810379241516966,38,21,19,0.1904761904761904761904761905,0.1052631578947368421052631579,0.0852130325814536340852130326,0,0,-900.0,-0.4491017964071856,2524.0,0,10,1.0,1.0,1.0,0.0,0.6197823303457106274007682458,0.0969488954446179993641948930,0.3802176696542893725992317542,balanced_nbfi_09a0dd80e330,completed,20,0.1,,,,0.6454412975986821263384654375,0.0712899281916465004264977013,0.3545587024013178736615345625,balanced_dealer_lender_d9e5fe7dfae8,completed,22,0.1818181818181818181818181818,,,,,,0,,,,,,,0,,,,,,,0,
0.5,1,1,0,56,20,0.90,0.25,0.8564298297122724603640634175,0.6962907811019358332205225396,0.1601390486103366271435408779,0.1869844359159432814709976792,0.1435701702877275396359365825,0.3037092188980641667794774604,balanced_passive_3998dab2197c,completed,balanced_active_157217a4b0c0,completed,1125.923076923077,0.5833798326026305,25,22,20,0,0.05,-0.05,0,0,-802.0,-0.4155440414507772,1927.923076923077,0,10,1.0,1.0,1.0,0.0,0.7591481122942884801548886738,0.0972817174179839802091747437,0.2408518877057115198451113262,balanced_nbfi_e515ad98d492,completed,22,0.09090909090909090909090909091,,,,0.7547563200416992442011988533,0.1016735096705732161628645642,0.2452436799583007557988011467,balanced_dealer_lender_d1d27f3bd9e3,completed,21,0.04761904761904761904761904762,,,,,,0,,,,,,,0,,,,,,,0,
0.5,2,0,0,57,20,0.90,0.25,0.3387450636243966652040368583,0.3387450636243966652040368583,0E-28,0,0.6612549363756033347959631417,0.6612549363756033347959631417,balanced_passive_0453f79a6c1b,completed,balanced_active_54ebed4f8f96,completed,147.0,0.0734632683658171,8,38,38,0.6578947368421052631578947368,0.6578947368421052631578947368,0E-28,0,0,-839.0,-0.4192903548225887,986.0,0,10,1.0,1.0,1.0,0.0,0.3317975720345180634781336844,0.0069474915898786017259031739,0.6682024279654819365218663156,balanced_nbfi_46b855c71129,completed,37,0.6756756756756756756756756757,,,,0.3361123299692847740236946029,0.0026327336551118911803422554,0.6638876700307152259763053971,balanced_dealer_lender_85718532e64b,completed,36,0.6111111111111111111111111111,,,,,,0,,,,,,,0,,,,,,,0,
0.5,2,0.5,0,58,20,0.90,0.25,0.7832130916769311983107513637,0.6850355131031104579965711487,0.0981775785738207403141802150,0.1253523206099805138632860395,0.2167869083230688016892486363,0.3149644868968895420034288513,balanced_passive_18a483651095,completed,balanced_active_03f2d650e5f5,completed,1842.888888888889,0.9205239205239205,32,22,26,0.1818181818181818181818181818,0.2692307692307692307692307692,-0.0874125874125874125874125874,0,0,-883.0,-0.44105894105894106,2725.8888888888887,0,10,1.0,1.0,1.0,0.0,0.7937810657727430354872269102,-0.0105679740958118371764755465,0.2062189342272569645127730898,balanced_nbfi_8e906d47eb3d,completed,22,0.2272727272727272727272727273,,,,0.7937810657727430354872269102,-0.0105679740958118371764755465,0.2062189342272569645127730898,balanced_dealer_lender_483260cb341c,completed,22,0.2272727272727272727272727273,,,,,,0,,,,,,,0,,,,,,,0,
0.5,2,1,0,59,20,0.90,0.25,0.8588627965192514006437000834,0.5935903715625218669092435799,0.2652724249567295337344565035,0.3088647290717562884799938387,0.1411372034807485993562999166,0.4064096284374781330907564201,balanced_passive_0ca7475bd29b,completed,balanced_active_fc90e31315f0,completed,1660.090909090909,0.8296306392258416,30,23,21,0,0.09523809523809523809523809524,-0.09523809523809523809523809524,0,0,-893.0,-0.44627686156921537,2553.090909090909,0,10,1.0,1.0,1.0,0.0,0.6805204192265992049150704734,0.1783423772926521957286296100,0.3194795807734007950849295266,balanced_nbfi_b817199dbb69,completed,22,0,,,,0.7180395080134178158777487887,0.1408232885058335847659512947,0.2819604919865821841222512113,balanced_dealer_lender_8f5894ff81c5,completed,20,0.05,,,,,,0,,,,,,,0,,,,,,,0,
1,0.5,0,0,60,20,0.90,0.25,0.4804114685926898664915736484,0.4804114685926898664915736484,0E-28,0,0.5195885314073101335084263516,0.5195885314073101335084263516,balanced_passive_c9a8c856f51d,completed,balanced_active_f704e68b35f2,completed,896.0434782608696,0.4555381180787339,7,24,24,0.375,0.375,0.000,0,0,-659.0,-0.3350279613624809,1555.0434782608695,0,10,1.0,1.0,1.0,0.0,0.3699569562997008827606332531,0.1104545122929889837309403953,0.6300430437002991172393667469,balanced_nbfi_fa903aeeb22a,completed,26,0.3846153846153846153846153846,,,,0.4606405486247902531553220982,0.0197709199678996133362515502,0.5393594513752097468446779018,balanced_dealer_lender_1bbc36dc7bd9,completed,24,0.375,,,,,,0,,,,,,,0,,,,,,,0,
1,0.5,0.5,0,61,20,0.90,0.25,0.6915553282618423576040401458,0.5794959128065395095367847411,0.1120594154553028480672554047,0.1620396964288502913954590771,0.3084446717381576423959598542,0.4205040871934604904632152589,balanced_passive_f29ac58a8d8e,completed,balanced_active_45a22baa9801,completed,1032.148148148148,0.5067001218203967,21,16,13,0.1875,0.1538461538461538461538461538,0.0336538461538461538461538462,0,0,-874.0,-0.42906234658811976,1906.148148148148,0,10,1.0,1.0,1.0,0.0,0.6625896516393442622950819672,0.0289656766224980953089581786,0.3374103483606557377049180328,balanced_nbfi_09ad001d768a,completed,14,0.1428571428571428571428571429,,,,0.6510630122950819672131147541,0.0404923159667603903909253917,0.3489369877049180327868852459,balanced_dealer_lender_9a5dc8fe7674,completed,14,0.1428571428571428571428571429,,,,,,0,,,,,,,0,,,,,,,0,
